Season,Region,Rating,Rank,Race
44,CN,2277,Silver,Zerg
44,CN,2277,Silver,Terran
44,CN,2277,Silver,Terran
44,CN,2277,Silver,Protoss
44,CN,2277,Silver,Terran
44,CN,2277,Silver,Terran
44,CN,2277,Silver,Terran
44,CN,2277,Silver,Protoss
44,CN,2277,Silver,Terran
44,CN,2277,Silver,Random
44,CN,2277,Silver,Terran
44,CN,2277,Silver,Protoss
44,CN,2277,Silver,Terran
44,CN,2277,Silver,Terran
44,CN,2277,Silver,Zerg
44,CN,2277,Silver,Terran
44,CN,2277,Silver,Terran
44,CN,2277,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Random
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Zerg
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Zerg
44,CN,2275,Silver,Zerg
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Zerg
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Zerg
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Zerg
44,CN,2275,Silver,Zerg
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Zerg
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Zerg
44,CN,2275,Silver,Random
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Protoss
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2275,Silver,Terran
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Zerg
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Zerg
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Zerg
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Random
44,CN,2274,Silver,Zerg
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Zerg
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Protoss
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Terran
44,CN,2274,Silver,Random
44,CN,2274,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Zerg
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Random
44,CN,2272,Silver,Zerg
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Zerg
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Zerg
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Random
44,CN,2272,Silver,Zerg
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Random
44,CN,2272,Silver,Zerg
44,CN,2272,Silver,Zerg
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Zerg
44,CN,2272,Silver,Zerg
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Terran
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Protoss
44,CN,2272,Silver,Zerg
44,CN,2272,Silver,Zerg
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Zerg
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Zerg
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Zerg
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Zerg
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Random
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Random
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Zerg
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Random
44,CN,2271,Silver,Zerg
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Protoss
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Terran
44,CN,2271,Silver,Terran
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Zerg
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Zerg
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Zerg
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Zerg
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Random
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Zerg
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Zerg
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Zerg
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Zerg
44,CN,2269,Silver,Zerg
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Zerg
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Zerg
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Protoss
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Terran
44,CN,2269,Silver,Zerg
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Zerg
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Zerg
44,CN,2268,Silver,Zerg
44,CN,2268,Silver,Zerg
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Zerg
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Zerg
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Zerg
44,CN,2268,Silver,Zerg
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Protoss
44,CN,2268,Silver,Zerg
44,CN,2268,Silver,Terran
44,CN,2268,Silver,Zerg
44,CN,2268,Silver,Zerg
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Random
44,CN,2266,Silver,Zerg
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Zerg
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Zerg
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Random
44,CN,2266,Silver,Zerg
44,CN,2266,Silver,Zerg
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Zerg
44,CN,2266,Silver,Random
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Zerg
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Zerg
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Terran
44,CN,2266,Silver,Protoss
44,CN,2266,Silver,Zerg
44,CN,2266,Silver,Terran
44,CN,2265,Silver,Terran
44,CN,2265,Silver,Terran
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Terran
44,CN,2265,Silver,Terran
44,CN,2265,Silver,Zerg
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Zerg
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Terran
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Random
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Zerg
44,CN,2265,Silver,Terran
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Terran
44,CN,2265,Silver,Terran
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Terran
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Terran
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Terran
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Zerg
44,CN,2265,Silver,Zerg
44,CN,2265,Silver,Protoss
44,CN,2265,Silver,Zerg
44,CN,2265,Silver,Terran
44,CN,2265,Silver,Terran
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Zerg
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Random
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Zerg
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Zerg
44,CN,2263,Silver,Zerg
44,CN,2263,Silver,Zerg
44,CN,2263,Silver,Zerg
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Zerg
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Random
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Zerg
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Random
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Zerg
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Zerg
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Protoss
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Terran
44,CN,2263,Silver,Protoss
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Random
44,CN,2262,Silver,Protoss
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Protoss
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Zerg
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Protoss
44,CN,2262,Silver,Protoss
44,CN,2262,Silver,Protoss
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Protoss
44,CN,2262,Silver,Protoss
44,CN,2262,Silver,Protoss
44,CN,2262,Silver,Random
44,CN,2262,Silver,Zerg
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Zerg
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Protoss
44,CN,2262,Silver,Protoss
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Zerg
44,CN,2262,Silver,Protoss
44,CN,2262,Silver,Protoss
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Terran
44,CN,2262,Silver,Terran
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Random
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Random
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Zerg
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Protoss
44,CN,2260,Silver,Terran
44,CN,2260,Silver,Terran
44,CN,2259,Silver,Protoss
44,CN,2259,Silver,Terran
44,CN,2259,Silver,Protoss
44,CN,2259,Silver,Protoss
44,CN,2259,Silver,Terran
44,CN,2259,Silver,Protoss
44,CN,2259,Silver,Zerg
44,CN,2259,Silver,Zerg
44,CN,2259,Silver,Protoss
44,CN,2259,Silver,Terran
44,CN,2259,Silver,Protoss
44,CN,2259,Silver,Terran
44,CN,2259,Silver,Terran
44,CN,2259,Silver,Zerg
44,CN,2259,Silver,Protoss
44,CN,2259,Silver,Terran
44,CN,2259,Silver,Terran
44,CN,2259,Silver,Terran
44,CN,2259,Silver,Protoss
44,CN,2259,Silver,Zerg
44,CN,2259,Silver,Zerg
44,CN,2259,Silver,Zerg
44,CN,2259,Silver,Protoss
44,CN,2259,Silver,Protoss
44,CN,2259,Silver,Protoss
44,CN,2259,Silver,Terran
44,CN,2259,Silver,Zerg
44,CN,2259,Silver,Zerg
44,CN,2259,Silver,Terran
44,CN,2259,Silver,Protoss
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Terran
44,CN,2257,Silver,Zerg
44,CN,2257,Silver,Random
44,CN,2257,Silver,Protoss
44,CN,2257,Silver,Protoss
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Random
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Random
44,CN,2256,Silver,Random
44,CN,2256,Silver,Protoss
44,CN,2256,Silver,Protoss
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Protoss
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Zerg
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Zerg
44,CN,2256,Silver,Protoss
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Protoss
44,CN,2256,Silver,Protoss
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Protoss
44,CN,2256,Silver,Terran
44,CN,2256,Silver,Random
44,CN,2256,Silver,Terran
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Protoss
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Protoss
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Protoss
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Protoss
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Protoss
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Random
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Protoss
44,CN,2254,Silver,Protoss
44,CN,2254,Silver,Protoss
44,CN,2254,Silver,Zerg
44,CN,2254,Silver,Protoss
44,CN,2254,Silver,Terran
44,CN,2254,Silver,Terran
