Season,Region,Rating,Rank,Race
38,EU,2277,Silver,Protoss
38,EU,2277,Silver,Terran
38,EU,2277,Silver,Zerg
38,EU,2277,Silver,Protoss
38,EU,2277,Silver,Protoss
38,EU,2277,Silver,Protoss
38,EU,2277,Silver,Terran
38,EU,2277,Silver,Zerg
38,EU,2277,Silver,Protoss
38,EU,2277,Silver,Zerg
38,EU,2277,Silver,Zerg
38,EU,2277,Silver,Zerg
38,EU,2277,Silver,Zerg
38,EU,2277,Silver,Protoss
38,EU,2277,Silver,Zerg
38,EU,2277,Silver,Random
38,EU,2277,Silver,Terran
38,EU,2277,Silver,Zerg
38,EU,2277,Silver,Protoss
38,EU,2277,Silver,Zerg
38,EU,2277,Silver,Zerg
38,EU,2277,Silver,Random
38,EU,2277,Silver,Terran
38,EU,2277,Silver,Terran
38,EU,2277,Silver,Protoss
38,EU,2277,Silver,Random
38,EU,2277,Silver,Protoss
38,EU,2277,Silver,Random
38,EU,2277,Silver,Protoss
38,EU,2277,Silver,Protoss
38,EU,2277,Silver,Terran
38,EU,2277,Silver,Zerg
38,EU,2277,Silver,Protoss
38,EU,2276,Silver,Protoss
38,EU,2274,Silver,Zerg
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Zerg
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Random
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Zerg
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Zerg
38,EU,2274,Silver,Zerg
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Zerg
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Zerg
38,EU,2274,Silver,Random
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Protoss
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Zerg
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Terran
38,EU,2274,Silver,Terran
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Zerg
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Random
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Random
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Zerg
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Random
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Random
38,EU,2273,Silver,Random
38,EU,2273,Silver,Zerg
38,EU,2273,Silver,Random
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Random
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Zerg
38,EU,2273,Silver,Zerg
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Zerg
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Zerg
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Zerg
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Random
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Zerg
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Terran
38,EU,2273,Silver,Random
38,EU,2273,Silver,Protoss
38,EU,2273,Silver,Protoss
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Zerg
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Zerg
38,EU,2271,Silver,Random
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Zerg
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Random
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Zerg
38,EU,2271,Silver,Zerg
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Zerg
38,EU,2271,Silver,Zerg
38,EU,2271,Silver,Zerg
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Zerg
38,EU,2271,Silver,Random
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Zerg
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Random
38,EU,2271,Silver,Zerg
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Terran
38,EU,2271,Silver,Protoss
38,EU,2271,Silver,Zerg
38,EU,2271,Silver,Random
38,EU,2271,Silver,Protoss
38,EU,2270,Silver,Protoss
38,EU,2270,Silver,Protoss
38,EU,2270,Silver,Zerg
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Protoss
38,EU,2270,Silver,Zerg
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Zerg
38,EU,2270,Silver,Protoss
38,EU,2270,Silver,Protoss
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Random
38,EU,2270,Silver,Zerg
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Zerg
38,EU,2270,Silver,Protoss
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Protoss
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Random
38,EU,2270,Silver,Zerg
38,EU,2270,Silver,Protoss
38,EU,2270,Silver,Zerg
38,EU,2270,Silver,Protoss
38,EU,2270,Silver,Protoss
38,EU,2270,Silver,Zerg
38,EU,2270,Silver,Terran
38,EU,2270,Silver,Terran
38,EU,2269,Silver,Terran
38,EU,2269,Silver,Protoss
38,EU,2269,Silver,Protoss
38,EU,2269,Silver,Terran
38,EU,2269,Silver,Terran
38,EU,2269,Silver,Terran
38,EU,2269,Silver,Terran
38,EU,2269,Silver,Terran
38,EU,2269,Silver,Terran
38,EU,2269,Silver,Zerg
38,EU,2269,Silver,Terran
38,EU,2269,Silver,Terran
38,EU,2269,Silver,Protoss
38,EU,2269,Silver,Protoss
38,EU,2269,Silver,Protoss
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Zerg
38,EU,2267,Silver,Zerg
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Zerg
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Zerg
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Zerg
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Zerg
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Zerg
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Random
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Zerg
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Zerg
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Random
38,EU,2267,Silver,Zerg
38,EU,2267,Silver,Protoss
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Zerg
38,EU,2267,Silver,Terran
38,EU,2267,Silver,Zerg
38,EU,2267,Silver,Protoss
38,EU,2266,Silver,Zerg
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Random
38,EU,2266,Silver,Random
38,EU,2266,Silver,Zerg
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Zerg
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Zerg
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Zerg
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Zerg
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Zerg
38,EU,2266,Silver,Random
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Zerg
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Protoss
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Zerg
38,EU,2266,Silver,Terran
38,EU,2266,Silver,Zerg
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Zerg
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Zerg
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Zerg
38,EU,2264,Silver,Zerg
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Zerg
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Zerg
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Zerg
38,EU,2264,Silver,Random
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Random
38,EU,2264,Silver,Zerg
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Zerg
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Random
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Zerg
38,EU,2264,Silver,Zerg
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Protoss
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Terran
38,EU,2264,Silver,Protoss
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Random
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Zerg
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Protoss
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Terran
38,EU,2263,Silver,Terran
38,EU,2261,Silver,Zerg
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Zerg
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Zerg
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Random
38,EU,2261,Silver,Random
38,EU,2261,Silver,Zerg
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Random
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Random
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Random
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Zerg
38,EU,2261,Silver,Zerg
38,EU,2261,Silver,Protoss
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Terran
38,EU,2261,Silver,Terran
38,EU,2260,Silver,Zerg
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Protoss
38,EU,2260,Silver,Zerg
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Protoss
38,EU,2260,Silver,Protoss
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Protoss
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Zerg
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Random
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Protoss
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Protoss
38,EU,2260,Silver,Zerg
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Zerg
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Zerg
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Zerg
38,EU,2260,Silver,Zerg
38,EU,2260,Silver,Zerg
38,EU,2260,Silver,Zerg
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Zerg
38,EU,2260,Silver,Terran
38,EU,2260,Silver,Terran
38,EU,2259,Silver,Protoss
38,EU,2259,Silver,Zerg
38,EU,2259,Silver,Protoss
38,EU,2259,Silver,Zerg
38,EU,2259,Silver,Protoss
38,EU,2259,Silver,Terran
38,EU,2259,Silver,Terran
38,EU,2259,Silver,Protoss
38,EU,2259,Silver,Protoss
38,EU,2259,Silver,Zerg
38,EU,2257,Silver,Random
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Zerg
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Zerg
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Random
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Zerg
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Random
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Zerg
38,EU,2257,Silver,Random
38,EU,2257,Silver,Zerg
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Zerg
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Zerg
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Zerg
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Protoss
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Terran
38,EU,2257,Silver,Random
38,EU,2257,Silver,Zerg
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Zerg
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Zerg
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Zerg
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Random
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Zerg
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Protoss
38,EU,2256,Silver,Terran
38,EU,2256,Silver,Zerg
38,EU,2256,Silver,Protoss
38,EU,2255,Silver,Protoss
38,EU,2255,Silver,Terran
38,EU,2255,Silver,Protoss
38,EU,2255,Silver,Protoss
38,EU,2253,Silver,Protoss
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Protoss
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Protoss
38,EU,2253,Silver,Zerg
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Protoss
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Protoss
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Protoss
38,EU,2253,Silver,Zerg
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Protoss
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Zerg
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Zerg
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Zerg
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Protoss
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Zerg
38,EU,2253,Silver,Protoss
38,EU,2253,Silver,Protoss
38,EU,2253,Silver,Terran
38,EU,2253,Silver,Protoss
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Zerg
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Zerg
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Zerg
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Zerg
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Zerg
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Zerg
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Zerg
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Zerg
38,EU,2252,Silver,Random
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Zerg
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Zerg
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Random
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Zerg
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Terran
38,EU,2252,Silver,Zerg
38,EU,2252,Silver,Protoss
38,EU,2252,Silver,Terran
38,EU,2251,Silver,Terran
38,EU,2251,Silver,Zerg
38,EU,2251,Silver,Terran
38,EU,2251,Silver,Terran
38,EU,2251,Silver,Protoss
38,EU,2251,Silver,Protoss
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Random
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Zerg
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Zerg
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Zerg
38,EU,2249,Silver,Zerg
38,EU,2249,Silver,Zerg
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Zerg
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Zerg
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Zerg
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Terran
38,EU,2249,Silver,Zerg
38,EU,2249,Silver,Zerg
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Protoss
38,EU,2249,Silver,Protoss
